source,target,mentions
johnkasich,johnkasich,284
scottwalker,hillaryclinton,139
jebbush,hillaryclinton,118
govmikehuckabee,govmikehuckabee,97
governorpataki,hillaryclinton,61
governorpataki,realdonaldtrump,57
chrischristie,hillaryclinton,54
govmikehuckabee,hillaryclinton,48
govchristie,govchristie,44
tedcruz,tedcruz,41
johnkasich,realdonaldtrump,41
jebbush,realdonaldtrump,40
randpaul,hillaryclinton,39
lindseygrahamsc,hillaryclinton,38
ricksantorum,ricksantorum,31
lindseygrahamsc,realdonaldtrump,31
bobbyjindal,realdonaldtrump,31
realdonaldtrump,jebbush,28
carlyfiorina,hillaryclinton,28
bobbyjindal,hillaryclinton,28
ricksantorum,hillaryclinton,20
lessig,berniesanders,16
realdonaldtrump,realdonaldtrump,14
governorperry,governorperry,14
randpaul,marcorubio,14
martinomalley,realdonaldtrump,13
martinomalley,hillaryclinton,13
lindseygrahamsc,lindseygrahamsc,13
governorpataki,jebbush,12
berniesanders,hillaryclinton,12
governorpataki,scottwalker,11
lessig,lessig,11
randpaul,randpaul,11
governorperry,hillaryclinton,10
johnkasich,hillaryclinton,10
governorpataki,randpaul,9
gov_gilmore,realdonaldtrump,9
governorperry,realdonaldtrump,9
berniesanders,jebbush,9
randpaul,realdonaldtrump,9
tedcruz,realdonaldtrump,9
governorpataki,carlyfiorina,8
berniesanders,realdonaldtrump,8
govmikehuckabee,berniesanders,8
randpaul,jebbush,8
lindseygrahamsc,berniesanders,8
governorpataki,marcorubio,7
governorpataki,governorperry,7
governorpataki,tedcruz,7
governorpataki,johnkasich,7
governorpataki,govchristie,7
randpaul,chrischristie,7
scottwalker,realdonaldtrump,7
bobbyjindal,tedcruz,7
bobbyjindal,scottwalker,7
gov_gilmore,gov_gilmore,6
randpaul,tedcruz,6
lindseygrahamsc,realbencarson,6
governorpataki,realbencarson,5
realdonaldtrump,carlyfiorina,5
realdonaldtrump,governorperry,5
realdonaldtrump,tedcruz,5
marcorubio,hillaryclinton,5
ricksantorum,tedcruz,5
tedcruz,scottwalker,5
martinomalley,jebbush,5
martinomalley,carlyfiorina,5
lindseygrahamsc,johnkasich,5
governorpataki,govmikehuckabee,4
governorpataki,bobbyjindal,4
lessig,sensanders,4
hillaryclinton,hillaryclinton,4
realdonaldtrump,marcorubio,4
realdonaldtrump,randpaul,4
marcorubio,marcorubio,4
govmikehuckabee,bobbyjindal,4
govmikehuckabee,realdonaldtrump,4
tedcruz,governorperry,4
martinomalley,realbencarson,4
scottwalker,berniesanders,4
chrischristie,chrischristie,4
governorpataki,ricksantorum,3
governorpataki,lindseygrahamsc,3
lessig,joebiden,3
lessig,hillaryclinton,3
hillaryclinton,johnkasich,3
hillaryclinton,realdonaldtrump,3
realdonaldtrump,scottwalker,3
realdonaldtrump,hillaryclinton,3
realdonaldtrump,governorpataki,3
governorperry,scottwalker,3
marcorubio,jebbush,3
ricksantorum,marcorubio,3
ricksantorum,governorperry,3
ricksantorum,bobbyjindal,3
berniesanders,sensanders,3
berniesanders,scottwalker,3
randpaul,berniesanders,3
tedcruz,marcorubio,3
tedcruz,hillaryclinton,3
jimwebbusa,martinomalley,3
jimwebbusa,lincolnchafee,3
jimwebbusa,jimwebbusa,3
jimwebbusa,berniesanders,3
jebbush,jebbush,3
martinomalley,berniesanders,3
lindseygrahamsc,randpaul,3
lindseygrahamsc,joebiden,3
johnkasich,jebbush,3
scottwalker,govchristie,3
scottwalker,governorperry,3
bobbyjindal,jebbush,3
bobbyjindal,governorperry,3
chrischristie,realdonaldtrump,3
governorpataki,governorpataki,2
lessig,lincolnchafee,2
hillaryclinton,jebbush,2
realdonaldtrump,johnkasich,2
realdonaldtrump,bobbyjindal,2
marcorubio,scottwalker,2
ricksantorum,johnkasich,2
ricksantorum,realdonaldtrump,2
lincolnchafee,realdonaldtrump,2
berniesanders,randpaul,2
govmikehuckabee,lindseygrahamsc,2
randpaul,sensanders,2
randpaul,joebiden,2
tedcruz,bobbyjindal,2
jimwebbusa,sensanders,2
jebbush,marcorubio,2
jebbush,berniesanders,2
martinomalley,marcorubio,2
