Name,Slug,Status,Party Affiliation,State of Origin,Web,Twitter,Facebook,Instagram,Scraping Email,Youtube,Images,Smears,Store,Google search results
Joe Biden,biden,Declined,Democrat,(Delaware),NA,JoeBiden,JoeBiden,vp,No email,,,,,
Lincoln Chafee,chafee,Dropped out,Democrat,(Rhode Island),http://Chafee2016.com,LincolnChafee,chafee2016,lincchafee,chafee2016.com,,,,,
Hillary Clinton ,clinton,Declared,Democrat,(New York),http://HillaryClinton.com,HillaryClinton,HillaryClinton,hillaryclinton,hillaryclinton.com,https://www.youtube.com/channel/UCLRYsOHrkk5qcIhtq033bLQ/videos,,,scraped,
Martin O'Malley ,omalley,Declared,Democrat,(Maryland),http://MartinOMalley.com,GovernorOMalley,MartinOMalley,martinomalley,martinomalley.com,,,,,
Martin O'Malley ,omalley,Declared,Democrat,(Maryland),NA,MartinOMalley,NA,NA,NA,,,,,
Bernie Sanders,sanders,Declared,Democrat,(Vermont),http://BernieSanders.com,BernieSanders,BernieSanders,berniesanders,berniesanders.com,https://www.youtube.com/user/SenatorSanders/videos,,,scraped,
Bernie Sanders,sanders,Declared,Democrat,(Vermont),NA,SenSanders,senatorsanders,NA,NA,https://www.youtube.com/user/SenatorSanders/videos,,,scraped,
Jim Webb ,webb,Dropped out,Democrat,(Virginia),http://Webb2016.com,JimWebbUSA,IHeardMyCountryCalling,webb2016,webb2016.com,,,,,
Jeb Bush ,bush,Declared,Republican,(Florida),http://Jeb2016.com,JebBush,JebBush,jebbush,email.jeb2016.com,,,,scraped,
Ben Carson ,carson,Declared,Republican,(Florida),http://BenCarson.com,RealBenCarson,DrBenjaminCarson,realbencarson,None received,,,,,
Chris Christie ,christie,Declared,Republican,(New Jersey),http://ChrisChristie.com,ChrisChristie,GovChrisChristie,chrischristie,chrischristie.com,,,,,
Chris Christie ,christie,Declared,Republican,(New Jersey),NA,GovChristie,govchristie,chrischristie,NA,,,,,
Ted Cruz ,cruz,Declared,Republican,(Texas),http://TedCruz.org,tedcruz,TedCruzPage,sentedcruz,tedcruz.org,,,,scraped,
Ted Cruz ,cruz,Declared,Republican,(Texas),NA,NA,SenatorTedCruz,cruzforpresident,NA,,,,scraped,
Mark Everson ,everson,Dropped out,Republican,(Mississippi),http://MarkForAmerica.com,MarkForAmerica,MarkForAmerica,markforamerica,markforamerica.com,,,,,
Carly Fiorina ,fiorina,Declared,Republican,(Virginia),http://CarlyForPresident.com,CarlyFiorina,CarlyFiorina,carlyforamerica,carlyforpresident.com,,,,,
Jim Gilmore ,gilmore,Declared,Republican,(Virginia),http://www.gilmoreforamerica.com/,gov_gilmore,gilmoreforamerica,,None received,,,,,
Lindsey Graham,graham,Dropped Out,Republican,(South Carolina),http://www.lindseygraham.com/,LindseyGrahamSC,LindseyGrahamSC,lindseygrahamsc,lindseygraham.com,,,,,
