"","source","target","mentions","source_name","source_party","target_name","target_party"
"1","scottwalker","hillaryclinton",139,"Scott Walker ","Republican","Hillary Clinton ","Democrat"
"2","jebbush","hillaryclinton",118,"Jeb Bush ","Republican","Hillary Clinton ","Democrat"
"3","governorpataki","hillaryclinton",61,"George Pataki ","Republican","Hillary Clinton ","Democrat"
"4","governorpataki","realdonaldtrump",57,"George Pataki ","Republican","Donald Trump ","Republican"
"5","jebbush","realdonaldtrump",40,"Jeb Bush ","Republican","Donald Trump ","Republican"
"6","randpaul","hillaryclinton",39,"Rand Paul ","Republican","Hillary Clinton ","Democrat"
"7","lindseygrahamsc","hillaryclinton",38,"Lindsey Graham","Republican","Hillary Clinton ","Democrat"
"8","lindseygrahamsc","realdonaldtrump",31,"Lindsey Graham","Republican","Donald Trump ","Republican"
"9","randpaul","marcorubio",14,"Rand Paul ","Republican","Marco Rubio ","Republican"
"10","governorpataki","jebbush",12,"George Pataki ","Republican","Jeb Bush ","Republican"
"11","governorpataki","scottwalker",11,"George Pataki ","Republican","Scott Walker ","Republican"
"12","governorpataki","randpaul",9,"George Pataki ","Republican","Rand Paul ","Republican"
"13","randpaul","realdonaldtrump",9,"Rand Paul ","Republican","Donald Trump ","Republican"
"14","governorpataki","carlyfiorina",8,"George Pataki ","Republican","Carly Fiorina ","Republican"
"15","randpaul","jebbush",8,"Rand Paul ","Republican","Jeb Bush ","Republican"
"16","lindseygrahamsc","berniesanders",8,"Lindsey Graham","Republican","Bernie Sanders","Democrat"
"17","governorpataki","marcorubio",7,"George Pataki ","Republican","Marco Rubio ","Republican"
"18","governorpataki","governorperry",7,"George Pataki ","Republican","Rick Perry","Republican"
"19","governorpataki","tedcruz",7,"George Pataki ","Republican","Ted Cruz ","Republican"
"20","governorpataki","johnkasich",7,"George Pataki ","Republican","John Kasich ","Republican"
"21","governorpataki","govchristie",7,"George Pataki ","Republican","Chris Christie ","Republican"
"22","randpaul","chrischristie",7,"Rand Paul ","Republican","Chris Christie ","Republican"
"23","scottwalker","realdonaldtrump",7,"Scott Walker ","Republican","Donald Trump ","Republican"
"24","randpaul","tedcruz",6,"Rand Paul ","Republican","Ted Cruz ","Republican"
"25","lindseygrahamsc","realbencarson",6,"Lindsey Graham","Republican","Ben Carson ","Republican"
"26","governorpataki","realbencarson",5,"George Pataki ","Republican","Ben Carson ","Republican"
"27","lindseygrahamsc","johnkasich",5,"Lindsey Graham","Republican","John Kasich ","Republican"
"28","governorpataki","govmikehuckabee",4,"George Pataki ","Republican","Mike Huckabee ","Republican"
"29","governorpataki","bobbyjindal",4,"George Pataki ","Republican","Bobby Jindal ","Republican"
"30","scottwalker","berniesanders",4,"Scott Walker ","Republican","Bernie Sanders","Democrat"
"31","governorpataki","ricksantorum",3,"George Pataki ","Republican","Rick Santorum ","Republican"
"32","governorpataki","lindseygrahamsc",3,"George Pataki ","Republican","Lindsey Graham","Republican"
"33","randpaul","berniesanders",3,"Rand Paul ","Republican","Bernie Sanders","Democrat"
"34","lindseygrahamsc","randpaul",3,"Lindsey Graham","Republican","Rand Paul ","Republican"
"35","lindseygrahamsc","joebiden",3,"Lindsey Graham","Republican","Joe Biden","Democrat"
"36","scottwalker","govchristie",3,"Scott Walker ","Republican","Chris Christie ","Republican"
"37","scottwalker","governorperry",3,"Scott Walker ","Republican","Rick Perry","Republican"
"38","randpaul","sensanders",2,"Rand Paul ","Republican","Bernie Sanders","Democrat"
"39","randpaul","joebiden",2,"Rand Paul ","Republican","Joe Biden","Democrat"
"40","jebbush","marcorubio",2,"Jeb Bush ","Republican","Marco Rubio ","Republican"
"41","jebbush","berniesanders",2,"Jeb Bush ","Republican","Bernie Sanders","Democrat"
"42","lindseygrahamsc","scottwalker",2,"Lindsey Graham","Republican","Scott Walker ","Republican"
