"","source","target","mentions","source_name","source_party","target_name","target_party"
"1","johnkasich","johnkasich",284,"John Kasich ","Republican","John Kasich ","Republican"
"2","govmikehuckabee","govmikehuckabee",97,"Mike Huckabee ","Republican","Mike Huckabee ","Republican"
"3","govchristie","govchristie",44,"Chris Christie ","Republican","Chris Christie ","Republican"
"4","tedcruz","tedcruz",41,"Ted Cruz ","Republican","Ted Cruz ","Republican"
"5","ricksantorum","ricksantorum",31,"Rick Santorum ","Republican","Rick Santorum ","Republican"
"6","realdonaldtrump","realdonaldtrump",14,"Donald Trump ","Republican","Donald Trump ","Republican"
"7","governorperry","governorperry",14,"Rick Perry","Republican","Rick Perry","Republican"
"8","lindseygrahamsc","lindseygrahamsc",13,"Lindsey Graham","Republican","Lindsey Graham","Republican"
"9","lessig","lessig",11,"Lawrence Lessig ","Democrat","Lawrence Lessig ","Democrat"
"10","randpaul","randpaul",11,"Rand Paul ","Republican","Rand Paul ","Republican"
"11","gov_gilmore","gov_gilmore",6,"Jim Gilmore ","Republican","Jim Gilmore ","Republican"
"12","hillaryclinton","hillaryclinton",4,"Hillary Clinton ","Democrat","Hillary Clinton ","Democrat"
"13","marcorubio","marcorubio",4,"Marco Rubio ","Republican","Marco Rubio ","Republican"
"14","chrischristie","chrischristie",4,"Chris Christie ","Republican","Chris Christie ","Republican"
"15","berniesanders","sensanders",3,"Bernie Sanders","Democrat","Bernie Sanders","Democrat"
"16","jimwebbusa","jimwebbusa",3,"Jim Webb ","Democrat","Jim Webb ","Democrat"
"17","jebbush","jebbush",3,"Jeb Bush ","Republican","Jeb Bush ","Republican"
"18","governorpataki","governorpataki",2,"George Pataki ","Republican","George Pataki ","Republican"
"19","scottwalker","scottwalker",2,"Scott Walker ","Republican","Scott Walker ","Republican"
"20","realbencarson","realbencarson",1,"Ben Carson ","Republican","Ben Carson ","Republican"
"21","lincolnchafee","lincolnchafee",1,"Lincoln Chafee","Democrat","Lincoln Chafee","Democrat"
"22","berniesanders","berniesanders",1,"Bernie Sanders","Democrat","Bernie Sanders","Democrat"
"23","martinomalley","martinomalley",1,"Martin O'Malley ","Democrat","Martin O'Malley ","Democrat"
"24","martinomalley","governoromalley",1,"Martin O'Malley ","Democrat","Martin O'Malley ","Democrat"
"25","governoromalley","martinomalley",1,"Martin O'Malley ","Democrat","Martin O'Malley ","Democrat"
