"","source","target","mentions","source_name","source_party","target_name","target_party"
"1","gov_gilmore","realdonaldtrump",9,"Jim Gilmore ","Republican","Donald Trump ","Republican"
"2","marcorubio","hillaryclinton",5,"Marco Rubio ","Republican","Hillary Clinton ","Democrat"
"3","hillaryclinton","johnkasich",3,"Hillary Clinton ","Democrat","John Kasich ","Republican"
"4","hillaryclinton","realdonaldtrump",3,"Hillary Clinton ","Democrat","Donald Trump ","Republican"
"5","marcorubio","jebbush",3,"Marco Rubio ","Republican","Jeb Bush ","Republican"
"6","hillaryclinton","jebbush",2,"Hillary Clinton ","Democrat","Jeb Bush ","Republican"
"7","marcorubio","scottwalker",2,"Marco Rubio ","Republican","Scott Walker ","Republican"
"8","lincolnchafee","realdonaldtrump",2,"Lincoln Chafee","Democrat","Donald Trump ","Republican"
"9","hillaryclinton","marcorubio",1,"Hillary Clinton ","Democrat","Marco Rubio ","Republican"
"10","hillaryclinton","carlyfiorina",1,"Hillary Clinton ","Democrat","Carly Fiorina ","Republican"
"11","hillaryclinton","berniesanders",1,"Hillary Clinton ","Democrat","Bernie Sanders","Democrat"
"12","gov_gilmore","martinomalley",1,"Jim Gilmore ","Republican","Martin O'Malley ","Democrat"
"13","gov_gilmore","tedcruz",1,"Jim Gilmore ","Republican","Ted Cruz ","Republican"
"14","realbencarson","bobbyjindal",1,"Ben Carson ","Republican","Bobby Jindal ","Republican"
"15","realbencarson","carlyfiorina",1,"Ben Carson ","Republican","Carly Fiorina ","Republican"
"16","realbencarson","lindseygrahamsc",1,"Ben Carson ","Republican","Lindsey Graham","Republican"
"17","realbencarson","scottwalker",1,"Ben Carson ","Republican","Scott Walker ","Republican"
"18","marcorubio","governorperry",1,"Marco Rubio ","Republican","Rick Perry","Republican"
"19","marcorubio","tedcruz",1,"Marco Rubio ","Republican","Ted Cruz ","Republican"
"20","lincolnchafee","tedcruz",1,"Lincoln Chafee","Democrat","Ted Cruz ","Republican"
"21","lincolnchafee","scottwalker",1,"Lincoln Chafee","Democrat","Scott Walker ","Republican"
"22","lincolnchafee","realbencarson",1,"Lincoln Chafee","Democrat","Ben Carson ","Republican"
"23","lincolnchafee","jebbush",1,"Lincoln Chafee","Democrat","Jeb Bush ","Republican"
